frame,codec_us,istft_us,total_us,n_samples
1,191666,131,191800,1758
2,17728,121,17854,1764
3,24122,121,24248,1764
4,29266,144,29416,1764
5,35506,140,35653,1764
6,41728,142,41879,1764
7,47576,141,47728,1764
8,53590,138,53750,1764
9,108359,139,108513,1764
10,107215,143,107382,1764
11,107204,142,107365,1764
12,107137,134,107288,1764
13,106639,140,106799,1764
14,106958,136,107113,1764
15,107106,196,107322,1764
16,107000,134,107170,1764
17,107337,134,107489,1764
18,107360,136,107514,1764
19,107407,136,107569,1764
20,107229,132,107384,1764
21,107670,137,107830,1764
22,107720,135,107876,1764
23,107687,136,107840,1764
24,107496,134,107667,1764
25,107634,136,107798,1764
26,107478,136,107634,1764
27,107113,138,107267,1764
28,106869,140,107028,1764
29,107325,137,107479,1764
30,107389,135,107542,1764
31,107496,137,107670,1764
32,107168,135,107337,1764
33,107325,135,107482,1764
34,107257,132,107406,1764
35,107468,136,107624,1764
36,107125,135,107283,1764
37,107788,136,107949,1764
38,107469,133,107620,1764
39,107367,136,107519,1764
40,107621,132,107788,1764
41,107116,135,107274,1764
42,107845,138,108001,1764
43,107428,140,107586,1764
44,107577,136,107733,1764
45,107609,138,107764,1764
46,107649,136,107802,1764
47,107736,142,107895,1764
48,107772,139,107942,1764
49,107538,137,107698,1764
50,107394,135,107547,1764
51,107549,135,107703,1764
52,107575,132,107724,1764
53,107884,138,108037,1764
54,107923,135,108075,1764
55,107948,140,108129,1764
56,107428,138,107599,1764
57,107728,136,107893,1764
58,108108,131,108263,1764
59,107955,135,108113,1764
60,107728,136,107884,1764
61,108109,136,108264,1764
62,108030,134,108182,1764
63,107648,136,107818,1764
64,107641,134,107799,1764
65,107920,135,108073,1764
66,107787,135,107941,1764
67,107966,136,108125,1764
68,107940,136,108094,1764
69,107829,140,107988,1764
70,108009,137,108165,1764
71,108128,133,108297,1764
72,108100,135,108260,1764
73,107972,135,108126,1764
74,107980,138,108134,1764
75,107909,135,108067,1764
76,108148,135,108301,1764
77,108331,134,108481,1764
78,108097,135,108249,1764
79,108201,135,108368,1764
80,108060,134,108217,1764
81,108133,136,108293,1764
82,108115,119,108273,1764
83,108278,118,108418,1764
84,107988,117,108121,1764
85,108091,115,108222,1764
86,108545,114,108677,1764
87,107854,114,107987,1764
88,108201,113,108327,1764
89,108511,116,108638,1764
90,108316,113,108439,1764
91,108405,114,108529,1764
92,108691,114,108816,1764
93,108708,125,108842,1764
94,108556,115,108683,1764
95,108617,114,108742,1764
