frame,codec_us,istft_us,total_us,n_samples
4,207732,489,208228,7050
8,55849,533,56398,7056
12,132992,544,133556,7056
16,132590,540,133150,7056
20,132725,535,133284,7056
24,132324,541,132888,7056
28,132527,543,133110,7056
32,132514,552,133087,7056
36,132447,547,133015,7056
40,132702,549,133276,7056
44,132367,542,132930,7056
48,132540,549,133114,7056
52,132806,541,133367,7056
56,132527,533,133079,7056
60,132445,535,133000,7056
64,132692,535,133250,7056
68,132693,539,133258,7056
72,132641,539,133199,7056
76,132776,548,133344,7056
80,132595,543,133171,7056
84,132762,495,133276,7056
88,132708,440,133163,7056
92,132764,450,133232,7056
