frame,codec_us,istft_us,total_us,n_samples
8,231549,1015,232577,14106
16,156752,1069,157846,14112
24,156752,1064,157842,14112
32,156830,1062,157923,14112
40,156778,1048,157852,14112
48,156975,1061,158061,14112
56,156992,1089,158108,14112
64,157064,1051,158141,14112
72,157320,1074,158419,14112
80,156794,1064,157884,14112
88,156820,896,157740,14112
