fixture	frames	state_bytes	min_cosine	max_rmse	max_abs	mean_step_ms	p95_step_ms	p99_step_ms
VC01-short	38	8257536	0.999862075	0.000716533	0.00263504	11.678	13.627	13.719
VC02	54	11403264	0.999813020	0.000977375	0.00376237	12.153	14.297	-
VC03-long	281	14548992	0.999477744	0.0014307	0.00563987	15.735	18.821	19.930
VC04	38	8257536	0.999795437	0.000791417	0.00282296	11.545	13.623	-
VC05-pause	101	14548992	0.999720812	0.000905603	0.00348644	57.153	131.981	200.366
VC06	41	8847360	0.999792874	0.000756485	0.00287788	11.972	13.550	-
